cod_imovel;x;y
ES-3200136-AED7CD85F9FA458FBC0774E88DF33101;317411.43075053697;7898046.959248656
ES-3201001-3619B00F98E3414696F757137739949C;354579.5764497692;7961085.526223324
ES-3203700-2858F575AACA4181B5154A9026719ABD;245629.03351569214;7745593.052780095
ES-3204005-334698163CE94B7DA1036D5AC028E38E;312410.8811361252;7873719.992800383
ES-3200201-219C4443EE5D4457B03D49251962DBB2;238961.0970798442;7725553.666822799
ES-3204559-607141DD4F8F4E12B52B85A1E04ED946;322738.54077637574;7785926.99507157
ES-3201902-D43C3E1D535E4730BA0C9BA73FE87C7C;320036.9455137788;7763463.290716633
ES-3202801-BE11F358F7504DA4AA307069206DA59A;294056.66220577236;7684620.662503777
ES-3203908-46E7DEEACE9A45B48D8695F8CC90A1ED;336037.7680209286;7952051.849178964
ES-3201803-52AEBDA6E361430BB3B9E3572ACB63C5;219262.99795900262;7722489.635817207
ES-3204559-D013FFAF94C243C1B88168DA87C7ADE9;292630.56190475833;7762899.683081955
ES-3204906-CA1E1D37E4CC463E85BF3866F50764CC;414919.2334176024;7928215.026496379
ES-3204401-9DB9526F27C84A93AAE4C5D6AAB0D660;297117.0965151756;7706446.079530811
ES-3202108-5ACA350BFD794F2EBC991A47EFCBF2FF;320000.393328891;8005252.021630505
ES-3202009-E2957EE45DB24E448D5E34766235D59A;208446.68715714267;7704850.585388766
ES-3204955-2404F6C089F64DD1B544FDF14C89E03E;323813.1847189078;7819309.456585651
ES-3200359-0DE0DBCCFDE94884AB3F2920C27FD487;296254.20255939756;7891125.494031656
ES-3202405-8BF759F9A1BF4B508E8C0EE193FE2315;336911.86453539704;7715427.607305739
ES-3204559-21ACA128E25547139D324AF7B78D3E40;314868.65131337586;7779441.423911454
ES-3201209-569A3E770E154BC7973467CB308DA017;269200.34087615187;7710714.537392735
ES-3202108-A2145CEF01604025A5E9C1BB9499C327;300726.3294597277;7972308.9975452
ES-3201209-4C4F7F6A715143AF9985D26C06885609;278263.6066511195;7710723.181421565
ES-3202306-A2B8114CE3654169AF0495AC40C5143F;212874.98140554375;7704058.603814574
ES-3201001-5A0CA6CD4BDA486F98EC1317962B91AB;350309.0617046106;7965864.361046778
ES-3201001-40B62ED60EAC49EB841DD3C8CDE3E8CD;354335.0741473089;7950147.3961066585
ES-3203353-612A078D5B234A7B89CF47696C9A07D5;341421.0825560845;7842718.305232845
ES-3203908-1A61AFE8581E4ABB97FBB7CAC1F1723E;343930.0474706625;7925684.061412741
ES-3200706-01B545372DF443ED93BDCC425BFA073C;272356.462953751;7679882.3247794295
ES-3200102-53C3544CD75340139CD7FB58A98A20E0;276126.8436512447;7796266.242024762
ES-3201407-1CEBCAC114F84BF79C056D3BD6F7EC42;278991.5957511078;7729159.408175763
